Voltaje (V),Potencial escalar (V),Diámetro bobina (cm),Impedancia carga (ohmios),Coef. Reflexión,Consumo sin carga (J),Consumo con carga (J),Mejor potencial y consumo,Trabajo resistencias (J)
1,0.00033688106110132216,0.05,1800,0.6612828795569913,0.5627049532048138,0.005947806366829874,True,1.1194621000427978
1,0.0003278959469033743,0.05,1900,0.6762240846934274,0.5427209872805363,0.005657908480296942,True,1.0797840660807756
1,0.0003195934360963589,0.05,2000,0.6899028305872412,0.5240340843477123,0.005393928921396167,True,1.0426742397740285
1,0.000311891257600309,0.05,2100,0.7024726388325901,0.5065321916915774,0.005152680305953286,True,1.0079117030772013
1,0.00030472038508633014,0.05,2200,0.7140631086871835,0.4901138768119956,0.004931452083916495,True,0.9752963015400746
1,0.0002980224158418982,0.05,2300,0.7247844019497562,0.4746875706903342,0.004727930276701649,True,0.9446472111039668
1,0.00029174755696760265,0.05,2400,0.7347307553306831,0.46017071717120384,0.004540131344282,True,0.9158013029981257
1,0.0002858530593096774,0.05,2500,0.7439832577607255,0.4464889121717379,0.004366347871070659,True,0.8886114764724051
1,0.0002803019860462002,0.05,2600,0.7526120660599933,0.4335750780209082,0.004205103979527165,True,0.8629450520622892
1,0.0002750622345685339,0.05,2700,0.7606781871535703,0.4213686955887579,0.004055118683140279,True,0.8386822724943754
1,0.00027010575230014403,0.05,2800,0.7682349226397222,0.4098151036367401,0.003915275694050268,True,0.81571493157943
1,0.000265407902587277,0.05,2900,0.7753290480563207,0.3988648672400795,0.003784598472596718,True,0.7939451360075623
1,0.0002609469478596208,0.05,3000,0.782001782001782,0.3884732129460373,0.003662229537000974,True,0.7732841963550736
1,0.00025670362526296103,0.05,3100,0.7882895875396596,0.37859952617655335,0.003547413241820426,True,0.7536516391112862
1,0.0002526607958259916,0.05,3200,0.7942248388001122,0.3692069054329358,0.003439481388302411,True,0.7349743294775691
1,0.0002488031525619686,0.05,3300,0.7998363785110445,0.3602617676103371,0.003337841153961774,True,0.7171856940667125
1,0.00024511697615133666,0.05,3400,0.8051499867268384,0.35173349887377203,0.00324196492807407,True,0.70022503281947
1,0.00024158992930273688,0.05,3500,0.8101887768295837,0.3435941458993831,0.0031513817191241183,True,0.6840369100796421
1,0.00023821088275806455,0.05,3600,0.814973531635997,0.3358181427327507,0.003065669863602067,True,0.6685706156018993
1,0.00023496976734324604,0.05,3700,0.8195229899188591,0.32838206899445355,0.0029844508161771606,True,0.6537796871727299
1,0.0002318574475789601,0.05,3800,0.8238540916726662,0.32126443563420615,0.0029073838418335616,True,0.6396214874265786
1,0.00022886561323397364,0.05,3900,0.8279821888914929,0.3144454948784522,0.0028341614631129546,True,0.6260568282937915
1,0.00022598668588644493,0.05,4000,0.8319212273872223,0.3079070714225376,0.0027645055418271287,True,0.6130496373032481
1,0.00022321373809879575,0.05,4100,0.8356839041862547,0.3016324122840186,0.0026981638957823974,True,0.6005666606722548
1,0.00022054042324197887,0.05,4200,0.8392818042478651,0.2956060530584482,0.0026349073682225923,True,0.5885771987486739
1,0.00021796091434963527,0.05,4300,0.8427255196057425,0.2898136986052313,0.0025745272816565675,True,0.577052869928806
1,0.00021546985066032016,0.05,4400,0.8460247535137403,0.284242116442015,0.002516833219128191,True,0.5659673996649018
1,0.00021306229073090596,0.05,4500,0.8491884117526197,0.27887904134506314,0.002461651085315887,True,0.5552964316048103
1,0.00021073367118740332,0.05,4600,0.8522246829071874,0.27371308984374376,0.0024088214075153095,True,0.5450173582799722
1,0.00020847977032926627,0.05,4700,0.8551411091375567,0.2687336834629893,0.0023581978428802637,True,0.5351091690830984
1,0.0002062966759264004,0.05,4800,0.8579446487323399,0.2639309797115419,0.0023096458635276018,True,0.5255523135595561
1,0.00020418075664976957,0.05,4900,0.8606417315359788,0.25929580993875223,0.0022630415954536655,True,0.5163285782820508
1,0.00020212863666079327,0.05,5000,0.8632383081796162,0.2548196232911939,0.0022182707908260362,True,0.5074209757915618
1,0.0014292652965483869,0.1,100,-0.5717344753747323,0.6731196896679796,0.007706950278901162,True,1.3385324290570582
1,0.0010106431833039665,0.1,200,-0.2945326278659612,0.9132505311223712,0.012766813352917815,True,1.8137342488918247
1,0.0008251867037056016,0.1,300,-0.10044977511244378,0.9899098426798595,0.014888725245614116,True,1.964930960114105
1,0.0007146326482741934,0.1,400,0.04302477183833116,0.9981488690082595,0.015136105235063814,True,1.9811616327814552
