9173,2963,17729,6827,13037,1794,46,-368,46,460,874
9221,6323,13499,7841,10739,10488,2254,4876,736,1150,-1472
11279,2309,20939,10589,19559,16836,-2208,-7314,2208,-1518,3588
9293,4049,17987,5843,11087,30912,6072,2760,12144,3312,6624
10357,3457,20707,6907,13807,6486,966,276,3726,-1104,-414
12049,7219,18397,10531,15361,15594,2576,2576,-46,5198,5198
12041,5003,23909,7211,14249,8326,322,46,3358,-2438,-2162
12107,8243,18041,10037,13901,13110,-2760,-2760,-3450,-2070,-2070
12347,1721,23663,11657,22283,11822,2254,1288,3634,1840,2806
12289,8839,17257,10771,14221,1794,0,-552,690,-138,414
12413,5927,23039,8273,14759,17388,-2760,-2346,0,-5934,-6348
12511,7681,18859,10993,15823,8004,1380,690,1656,1794,2484
12541,3433,23029,11161,20269,44574,7728,1380,14490,7314,13662
12589,7759,20731,9277,14107,39744,-5934,966,-11592,-7176,-14076
12589,1549,25147,11071,22111,13156,-2254,-5704,1748,-2806,644
12653,6719,23417,7823,13757,13018,874,2668,2530,-2576,-4370
12889,3229,25171,10267,19927,3266,782,782,1610,-46,-46
12899,5861,24767,8069,15107,6716,736,-506,4048,-1334,-92
12911,6701,22571,9461,15671,4968,322,-1058,1840,184,1564
12953,6329,24407,8123,14747,17250,-3174,-1104,-5934,-2484,-4554
12973,4003,23599,11317,20287,20286,3312,0,6210,3726,7038
13007,2381,25703,10937,21563,11960,-2576,-5612,736,-2852,184
13147,7213,23911,8317,14251,15870,-3036,-4140,-138,-4830,-3726
13147,6247,23911,9283,16183,3864,0,-966,0,966,1932
13151,9011,19913,10529,14669,9982,1564,2944,2530,-782,-2162
13159,5569,25579,8329,15919,6486,506,-1150,2162,506,2162
13171,6961,24763,7789,13999,6670,1472,1610,1886,920,782
13241,4133,25799,9791,18899,11040,828,-1794,2760,1518,4140
13309,7237,20071,12619,18691,14628,138,276,-4692,4830,4692
13331,5051,24509,10433,18713,5658,184,-1196,598,1150,2530
13381,6619,23593,9931,16693,8924,230,-2392,3680,-598,2024
13411,5821,25969,8443,16033,11086,2438,2024,4370,920,1334
13487,9623,18731,12107,15971,4140,-690,-690,0,-1380,-1380
13513,10753,17239,12547,15307,13524,-2898,-2760,-4140,-1794,-1932
13513,7717,21379,11443,17239,8004,1794,2760,828,1794,828
13709,7499,24197,9431,15641,11362,736,3496,598,-1886,-4646
13763,8933,19697,12659,17489,4002,276,-690,966,552,1518
13763,7829,24527,8933,14867,10626,1656,-414,6486,-1104,966
13789,4957,24691,11719,20551,6164,782,2576,-1012,782,-1012
13807,5113,25951,10357,19051,15732,-2760,-1794,-2760,-3726,-4692
13903,4243,26737,10729,20389,8832,-2208,-2208,-4416,0,0
13913,7703,25919,8117,14327,17342,3772,3082,6670,1564,2254
13913,6599,27437,7703,15017,3726,0,-1104,1518,-414,690
13931,1373,27179,13241,25799,15180,690,-2760,1380,3450,6900
13967,9137,19073,13691,18521,15364,1426,5704,-3956,2530,-1748
14057,5087,26891,10193,19163,11316,1104,-1242,2484,2070,4416
14083,4423,24847,12979,22639,8280,276,-690,-1104,2622,3588
14149,3109,28087,11251,22291,7452,92,-1978,1196,1058,3128
14177,10313,18731,13487,17351,3726,414,1380,-966,828,-138
14221,8011,25261,9391,15601,8418,414,2898,-690,-966,-3450
14177,9623,19421,13487,18041,2070,0,-690,690,0,690
14251,9421,20323,13009,17839,12926,920,4370,-4186,2576,-874
14249,9419,23081,10247,15077,7498,736,1702,1702,-1196,-2162
14341,8821,22483,11719,17239,3312,828,1104,1104,276,0
14369,8849,21821,12437,17957,13570,2530,6670,-230,1150,-2990
14387,3761,28463,10937,21563,5520,1380,1380,2760,0,0
14389,6247,25981,10939,19081,4600,1058,1196,1472,506,368
14389,5281,26947,10939,20047,2898,0,-966,966,0,966
14423,8627,21599,13043,18839,15594,1012,2806,-4370,4600,2806
14561,5039,26153,12491,22013,12006,138,-3588,4554,-552,3174
14563,4903,27673,11113,20773,4002,506,-184,782,920,1610
