2243,0,0,241,1654
2251,0,0,194,1578
2267,0,0,190,1601
2269,0,0,148,1485
2273,0,0,219,1765
2281,0,0,158,1449
2287,0,0,198,1605
2293,0,0,184,1560
2297,0,0,193,1701
2309,0,0,169,1560
2311,0,0,215,1414
2333,0,0,234,1462
2339,0,0,219,1710
2341,0,0,173,1472
2347,0,0,161,1518
2351,0,0,187,1445
2357,0,0,209,1592
2371,0,0,201,1693
2377,0,0,202,1578
2381,0,0,179,1593
2383,0,0,186,1512
2389,0,0,173,1390
2393,0,0,226,1748
2399,0,0,192,1594
2411,0,0,225,1823
2417,0,0,233,1746
2423,0,0,232,1730
2437,0,0,177,1534
2441,0,0,235,1708
2447,0,0,216,1582
2459,0,0,189,1586
2467,0,0,211,1771
2473,0,0,163,1566
2477,0,0,208,1727
2503,0,0,209,1647
2521,0,0,180,1532
2531,0,0,214,1802
2539,0,0,156,1684
2543,0,0,192,1695
2549,0,0,210,1648
2551,0,0,149,1614
2557,0,0,184,1505
2579,0,0,257,1715
2591,0,0,209,1690
2593,0,0,216,1506
2609,0,0,187,1819
2617,0,0,190,1507
2621,0,0,229,1718
2633,0,0,210,1633
2647,0,0,215,1633
2657,0,0,218,1467
2659,0,0,204,1739
2663,0,0,236,1701
2671,0,0,221,1669
2677,0,0,191,1591
2683,0,0,215,1699
2687,0,0,252,1834
2689,0,0,142,1461
2693,0,0,243,1702
2699,0,0,250,1689
2707,0,0,215,1844
2711,0,0,220,1859
2713,0,0,170,1554
2719,0,0,167,1603
2729,0,0,209,1666
2731,0,0,140,1468
2741,0,0,225,1781
2749,0,0,205,1615
2753,0,0,182,1631
2767,0,0,212,1586
2777,0,0,215,1743
2789,0,0,241,1627
2791,0,0,210,1669
2797,0,0,209,1695
2801,0,0,209,1580
2803,0,0,194,1553
2819,0,0,220,1582
2833,0,0,201,1534
2837,0,0,220,1704
2843,0,0,217,1573
2851,0,0,175,1525
2857,0,0,209,1611
2861,0,0,201,1895
2879,0,0,252,1649
2887,0,0,216,1727
2897,0,0,227,1688
2903,0,0,156,1590
2909,0,0,187,1744
2917,0,0,230,1764
2927,0,0,216,1614
2939,0,0,220,1671
2953,0,0,198,1466
2957,0,0,217,1630
2963,0,0,253,1789
2969,0,0,254,1593
2971,0,0,213,1527
2999,0,0,215,1815
3001,0,0,175,1595
3011,0,0,183,1610
3019,0,0,181,1572
3023,0,0,232,1589
3037,0,0,142,1676
3041,0,0,196,1730
3049,0,0,158,1434
3061,0,0,183,1587
3067,0,0,174,1745
3079,0,0,186,1868
3083,0,0,249,1608
3089,0,0,174,1673
3109,0,0,179,1506
3119,0,0,250,1725
3121,0,0,193,1576
3137,0,0,220,1767
3163,0,0,193,1864
3167,0,0,237,1722
3169,0,0,170,1610
3181,0,0,201,1622
3187,0,0,219,1627
3191,0,0,267,1674
3203,0,0,181,1629
3209,0,0,247,1780
3217,0,0,174,1757
3221,0,0,183,1609
3229,0,0,179,1490
3251,0,0,265,1669
3253,0,0,220,1610
3257,0,0,182,1748
3259,0,0,156,1449
3271,0,0,231,1543
3299,0,0,217,1767
3301,0,0,156,1616
3307,0,0,222,1666
3313,0,0,235,1591
3319,0,0,218,1564
3323,0,0,207,1765
3329,0,0,268,1717
3331,0,0,182,1599
3343,0,0,225,1746
3347,0,0,200,1687
3359,0,0,276,1822
3361,0,0,179,1405
3371,0,0,245,1927
3373,0,0,229,1724
3389,0,0,205,1653
3391,0,0,163,1642
3407,0,0,193,1741
3413,0,0,244,1713
3433,0,0,238,1716
3449,0,0,215,1664
3457,0,0,209,1721
3461,0,0,257,1821
3463,0,0,193,1644
3467,0,0,216,1755
3469,0,0,187,1596
3491,0,0,253,1782
3499,0,0,212,1641
3511,0,0,173,1690
3517,0,0,214,1622
3527,0,0,237,1755
3529,0,0,179,1674
3533,0,0,254,1768
3539,0,0,263,1930
3541,0,0,197,1768
3547,0,0,262,1725
3557,0,0,242,1755
3559,0,0,214,1765
3571,0,0,184,1811
3581,0,0,208,1605
3583,0,0,166,1626
3593,0,0,236,1683
3607,0,0,238,1703
3613,0,0,217,1619
3617,0,0,241,1777
3623,0,0,226,1867
3631,0,0,196,1632
3637,0,0,223,1652
3643,0,0,203,1858
