1811,173,3539,1721,3359,263,1901,83,3449
1811,911,3359,1163,2063,1559,2459,263,2711
1823,1433,2339,1697,2087,1559,1949,1307,2213
1867,127,3673,1801,3541,193,1933,61,3607
1877,587,3557,1487,2777,977,2267,197,3167
1877,587,3671,1373,2663,1091,2381,83,3167
1879,499,3517,1621,3001,757,2137,241,3259
1913,233,3719,1787,3467,359,2039,107,3593
1913,467,3719,1553,2999,827,2273,107,3359
1931,1061,3221,1511,2381,1481,2351,641,2801
1933,73,3847,1879,3739,127,1987,19,3793
1933,337,3739,1723,3319,547,2143,127,3529
1979,1181,3527,1229,2027,1931,2729,431,2777
1979,569,3767,1601,3011,947,2357,191,3389
1979,947,3491,1499,2531,1427,2459,467,3011
1987,1597,2503,1861,2251,1723,2113,1471,2377
1987,811,3823,1327,2503,1471,2647,151,3163
1997,467,3803,1721,3251,743,2273,191,3527
1997,587,3803,1601,3011,983,2393,191,3407
2003,839,3557,1613,2777,1229,2393,449,3167
2011,1171,3559,1303,2143,1879,2719,463,2851
2011,331,3823,1879,3559,463,2143,199,3691
2017,997,3823,1231,2251,1783,2803,211,3037
2027,1097,3371,1613,2543,1511,2441,683,2957
2029,739,3571,1777,3067,991,2281,487,3319
2063,1223,3677,1289,2129,1997,2837,449,2903
2069,47,4133,2027,4049,89,2111,5,4091
2069,467,4133,1607,3209,929,2531,5,3671
2081,1553,2879,1811,2339,1823,2351,1283,2609
2099,809,3557,1931,3221,977,2267,641,3389
2099,809,3767,1721,3011,1187,2477,431,3389
2099,809,3881,1607,2897,1301,2591,317,3389
2113,307,4099,1933,3739,487,2293,127,3919
2131,1291,3229,1873,2713,1549,2389,1033,2971
2137,181,4243,1987,3943,331,2287,31,4093
2137,643,4201,1567,3061,1213,2707,73,3631
2143,1483,3319,1627,2287,1999,2659,967,2803
2143,853,4177,1399,2689,1597,2887,109,3433
2153,173,4217,2069,4049,257,2237,89,4133
2207,887,4013,1721,3041,1373,2693,401,3527
2237,1931,2753,2027,2333,2141,2447,1721,2543
2237,1721,2963,2027,2543,1931,2447,1511,2753
2243,953,4457,1319,2609,1877,3167,29,3533
2243,953,4289,1487,2777,1709,2999,197,3533
